Node,ObjVal
95517.0,1e+20
95518.0,0.0
95519.0,1e+20
95520.0,0.0
95521.0,0.0
95522.0,0.0
95523.0,1e+20
95524.0,0.0
95525.0,1e+20
95526.0,1e+20
95527.0,1e+20
95528.0,1e+20
95529.0,1e+20
95530.0,0.0
95531.0,0.0
95532.0,0.0
95533.0,0.0
95534.0,1e+20
95535.0,1e+20
95536.0,1e+20
95537.0,0.0
95538.0,1e+20
95539.0,0.0
95540.0,0.0
95541.0,1e+20
95542.0,0.0
95543.0,1e+20
95544.0,1e+20
95545.0,0.0
95546.0,0.0
95547.0,1e+20
95548.0,1e+20
95549.0,0.0
95550.0,1e+20
95551.0,1e+20
95552.0,0.0
95553.0,0.0
95554.0,0.0
95555.0,1e+20
95556.0,0.0
95557.0,0.0
95558.0,0.58177999106465
95559.0,1e+20
95560.0,1e+20
95561.0,1e+20
95562.0,1e+20
95563.0,1e+20
95564.0,1e+20
95565.0,1e+20
95566.0,1e+20
95567.0,1e+20
95568.0,1e+20
95569.0,1e+20
95570.0,1e+20
95571.0,1e+20
95572.0,1e+20
95573.0,0.0
95574.0,0.0
95575.0,0.0
95576.0,1e+20
95577.0,0.0
95578.0,0.0
95579.0,1e+20
95580.0,4.547473508864641e-13
95581.0,1e+20
95582.0,1e+20
95583.0,1e+20
95584.0,1e+20
95585.0,0.0
95586.0,1e+20
95587.0,0.0
95588.0,0.0
95589.0,1e+20
95590.0,1e+20
95591.0,0.0
95592.0,1e+20
95593.0,1e+20
95594.0,1e+20
95595.0,1e+20
95596.0,1e+20
95597.0,1e+20
95598.0,1.4666999023993412
95599.0,1e+20
95600.0,1e+20
95601.0,1e+20
95602.0,1e+20
95603.0,1e+20
95604.0,1e+20
95605.0,1e+20
95606.0,1e+20
95607.0,1e+20
95608.0,0.0
95609.0,0.0
95610.0,0.0
95611.0,0.0
95612.0,0.0
95613.0,0.0
95614.0,1.44729463561589
95615.0,1e+20
95616.0,1e+20
95617.0,1.233915113652074
95618.0,1e+20
95619.0,1e+20
95620.0,0.0
95621.0,1e+20
95622.0,0.0
95623.0,0.0
95624.0,0.0
95625.0,1e+20
95626.0,1e+20
95627.0,0.0
95628.0,0.0
95629.0,0.0
95630.0,1e+20
95631.0,0.0
95632.0,1e+20
95633.0,0.0
95634.0,0.0
95635.0,1e+20
95636.0,1e+20
95637.0,9.094947017729282e-13
95638.0,0.0
95639.0,0.0
95640.0,0.0
95641.0,0.0
95642.0,0.0
95643.0,1e+20
95644.0,0.0
95645.0,1e+20
95646.0,1e+20
95647.0,0.0
95648.0,1e+20
95649.0,1e+20
95650.0,0.0
95651.0,0.0
95652.0,0.0
95653.0,0.0
